# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 21 11520.000000000002
  1 2.83609 567.808 415.04
  2 12.8361 585.811 417.663
  3 22.8361 569.718 421.87
  4 32.8361 569.794 424.835
  5 42.8361 565.722 431.098
  6 52.8361 602.575 432.25
  7 62.8361 604.139 426.388
  8 72.8361 581.123 424.205
  9 82.8361 567.015 423.297
  10 92.8361 558.852 419.695
  11 102.836 566.293 417.023
  12 112.836 593.621 414.96
  13 122.836 571.122 412.343
  14 132.836 560.903 411.032
  15 142.836 587.319 409.499
  16 152.836 567.096 409.74
  17 162.836 568.492 410.746
  18 172.836 572.804 411.393
  19 182.836 554.586 412.353
  20 192.836 576.946 414.59
  21 202.836 28.2595 414.627
200000 21 11519.999999999998
  1 2.83609 568.206 420.175
  2 12.8361 585.605 419.825
  3 22.8361 569.601 422.991
  4 32.8361 570.207 425.789
  5 42.8361 565.01 427.95
  6 52.8361 602.41 429.901
  7 62.8361 604.321 424.811
  8 72.8361 581.068 422.98
  9 82.8361 566.588 420.682
  10 92.8361 558.817 418.157
  11 102.836 566.435 418.464
  12 112.836 593.738 417.22
  13 122.836 571.446 417.601
  14 132.836 560.205 414.301
  15 142.836 587.941 412.189
  16 152.836 566.633 408.273
  17 162.836 569.083 410.087
  18 172.836 572.853 410.901
  19 182.836 553.502 415.199
  20 192.836 577.927 415.832
  21 202.836 28.4036 419.343
300000 21 11520
  1 2.83609 567.697 423.627
  2 12.8361 585.581 422.3
  3 22.8361 569.74 424.855
  4 32.8361 569.629 425.567
  5 42.8361 564.705 427.954
  6 52.8361 602.789 430.101
  7 62.8361 603.354 429.621
  8 72.8361 581.322 427.295
  9 82.8361 566.891 426.374
  10 92.8361 557.587 421.887
  11 102.836 566.988 416.637
  12 112.836 594.286 414.031
  13 122.836 575.853 412.69
  14 132.836 557.251 410.898
  15 142.836 589.779 408.222
  16 152.836 565.424 408.043
  17 162.836 568.978 412.259
  18 172.836 572.717 411.989
  19 182.836 554.779 416.361
  20 192.836 577.436 421.564
  21 202.836 27.2139 423.233
400000 21 11520
  1 2.83609 568.104 423.009
  2 12.8361 585.35 425.168
  3 22.8361 569.256 427.372
  4 32.8361 569.869 428.136
  5 42.8361 564.39 430.716
  6 52.8361 602.756 431.852
  7 62.8361 603.437 427.104
  8 72.8361 581.416 424.91
  9 82.8361 566.968 422.383
  10 92.8361 557.451 419.764
  11 102.836 566.88 418.79
  12 112.836 594.349 418.057
  13 122.836 578.142 414.374
  14 132.836 553.343 413.14
  15 142.836 591.693 408.772
  16 152.836 564.514 412.502
  17 162.836 570.739 416.376
  18 172.836 571.204 416.512
  19 182.836 555.257 417.621
  20 192.836 577.409 419.336
  21 202.836 27.4747 419.485
500000 21 11519.999999999998
  1 2.83609 568.09 419.435
  2 12.8361 583.968 423.97
  3 22.8361 570.123 428.564
  4 32.8361 570.634 428.346
  5 42.8361 564.282 431.871
  6 52.8361 602.605 432.439
  7 62.8361 603.441 430.532
  8 72.8361 581.14 428.17
  9 82.8361 568.419 425.574
  10 92.8361 557.242 426.067
  11 102.836 568.084 422.166
  12 112.836 596.443 419.861
  13 122.836 576.92 419.306
  14 132.836 546.39 415.281
  15 142.836 594.728 413.075
  16 152.836 563.472 410.966
  17 162.836 571.167 412.64
  18 172.836 571.825 411.977
  19 182.836 555.347 416.458
  20 192.836 578.006 418.361
  21 202.836 27.6746 416.138
600000 21 11520
  1 2.83609 568.135 422.89
  2 12.8361 583.687 427.099
  3 22.8361 570.274 430.638
  4 32.8361 570.366 431.772
  5 42.8361 564.022 430.779
  6 52.8361 602.555 429.948
  7 62.8361 603.079 428.21
  8 72.8361 581.277 428.35
  9 82.8361 569.382 427.793
  10 92.8361 557.119 424.839
  11 102.836 569.438 422.384
  12 112.836 595.716 422.907
  13 122.836 578.269 419.99
  14 132.836 545.776 416.844
  15 142.836 594.898 414.814
  16 152.836 562.824 414.764
  17 162.836 570.897 417.1
  18 172.836 571.429 418.594
  19 182.836 554.074 421.031
  20 192.836 578.8 423.442
  21 202.836 27.9829 422.232
700000 21 11520
  1 2.83609 567.917 425.832
  2 12.8361 582.977 428.306
  3 22.8361 571.12 431.51
  4 32.8361 569.952 435.322
  5 42.8361 563.521 435.634
  6 52.8361 603.114 437.415
  7 62.8361 602.343 434.002
  8 72.8361 581.294 428.984
  9 82.8361 570.02 428.14
  10 92.8361 557.735 425.183
  11 102.836 571.154 424.227
  12 112.836 594.451 424.041
  13 122.836 578.27 420.785
  14 132.836 546.314 419.821
  15 142.836 595.284 415.875
  16 152.836 562.74 413.815
  17 162.836 570.951 417.096
  18 172.836 570.718 420.092
  19 182.836 553.894 423.066
  20 192.836 578.823 423.969
  21 202.836 27.4081 425.528
800000 21 11519.999999999998
  1 2.83609 567.866 426.681
  2 12.8361 582.841 427.073
  3 22.8361 571.913 431.099
  4 32.8361 570.287 435.098
  5 42.8361 564.02 437.195
  6 52.8361 603.633 437.515
  7 62.8361 602.535 435.885
  8 72.8361 581.82 432.426
  9 82.8361 569.163 430.999
  10 92.8361 558.243 430.263
  11 102.836 571.645 427.86
  12 112.836 593.676 427.957
  13 122.836 577.075 422.946
  14 132.836 546.304 421.547
  15 142.836 593.922 415.947
  16 152.836 562.796 412.08
  17 162.836 571.653 414.796
  18 172.836 570.953 417.674
  19 182.836 553.238 422.753
  20 192.836 578.194 424.624
  21 202.836 28.2232 425.229
900000 21 11520
  1 2.83609 566.682 429.456
  2 12.8361 583.764 433.323
  3 22.8361 569.892 433.83
  4 32.8361 574.111 437.383
  5 42.8361 564.138 438.644
  6 52.8361 601.805 439.995
  7 62.8361 601.354 437.269
  8 72.8361 582.303 434.226
  9 82.8361 568.101 433.182
  10 92.8361 558.67 429.186
  11 102.836 571.901 427.024
  12 112.836 593.36 426.041
  13 122.836 577.097 423.22
  14 132.836 548.211 421.956
  15 142.836 593.649 417.994
  16 152.836 562.969 417.99
  17 162.836 572.673 421.331
  18 172.836 570.167 422.174
  19 182.836 554.171 425.232
  20 192.836 576.688 427.834
  21 202.836 28.295 427.001
1000000 21 11520
  1 2.83609 567.972 428.259
  2 12.8361 582.63 431.544
  3 22.8361 566.879 436.091
  4 32.8361 575.046 438.645
  5 42.8361 563.91 440.901
  6 52.8361 601.616 442.261
  7 62.8361 601.794 438.865
  8 72.8361 581.385 439.449
  9 82.8361 569.954 436.61
  10 92.8361 557.126 435.248
  11 102.836 572.781 432.928
  12 112.836 592.721 430.693
  13 122.836 577.147 427.899
  14 132.836 548.712 425.768
  15 142.836 593.047 420.455
  16 152.836 564.465 418.744
  17 162.836 573.936 419.456
  18 172.836 569.484 420.202
  19 182.836 554.619 422.303
  20 192.836 577.269 425.465
  21 202.836 27.5057 427.605
