# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 40 23039.999999999996
  1 1.24178 582.632 607.279
  2 11.2418 568.073 609.252
  3 21.2418 586.751 613.738
  4 31.2418 551.378 614.473
  5 41.2418 561.504 619.331
  6 51.2418 554.67 624.446
  7 61.2418 560.87 622.526
  8 71.2418 599.063 626.494
  9 81.2418 630.874 627.957
  10 91.2418 596.861 628.014
  11 101.242 605.434 631.119
  12 111.242 558.404 627.025
  13 121.242 575.303 627.193
  14 131.242 572.557 625.67
  15 141.242 561.314 625.779
  16 151.242 572.493 623.83
  17 161.242 558.314 621.318
  18 171.242 596.632 619.742
  19 181.242 611.578 620.843
  20 191.242 585.678 615.247
  21 201.242 597.506 613.197
  22 211.242 567.076 609.677
  23 221.242 595.665 606.182
  24 231.242 601.671 607.355
  25 241.242 581.515 604.985
  26 251.242 609.741 602.128
  27 261.242 579.35 602.185
  28 271.242 589.554 598.896
  29 281.242 555.618 599.762
  30 291.242 572.288 599.443
  31 301.242 536.806 597.121
  32 311.242 559.853 599.067
  33 321.242 584.933 603.94
  34 331.242 570.066 601.01
  35 341.242 567.133 600.366
  36 351.242 573.575 601.3
  37 361.242 542.514 601.675
  38 371.242 547.979 604.92
  39 381.242 549.076 605.988
  40 391.242 567.699 606.979
200000 40 23039.999999999993
  1 1.24178 583.509 613.651
  2 11.2418 568.061 616.808
  3 21.2418 586.637 620.635
  4 31.2418 550.762 623.297
  5 41.2418 561.117 625.002
  6 51.2418 555.446 629.773
  7 61.2418 561.244 629.028
  8 71.2418 599.501 626.186
  9 81.2418 630.773 624.776
  10 91.2418 595.766 624.812
  11 101.242 606.094 631.168
  12 111.242 557.838 634.364
  13 121.242 575.018 634.679
  14 131.242 572.467 631.138
  15 141.242 561.847 629.504
  16 151.242 572.269 626.137
  17 161.242 558.364 622.471
  18 171.242 597.541 621.011
  19 181.242 611.728 620.972
  20 191.242 585.913 613.025
  21 201.242 598.573 612.207
  22 211.242 564.907 610.126
  23 221.242 596.553 607.403
  24 231.242 601.249 602.093
  25 241.242 581.827 599.87
  26 251.242 609.809 600.328
  27 261.242 579.491 601.813
  28 271.242 589.95 601.26
  29 281.242 555.787 603.749
  30 291.242 571.714 600.686
  31 301.242 537.15 599.134
  32 311.242 559.001 594.078
  33 321.242 583.842 596.191
  34 331.242 572.027 597.551
  35 341.242 567.191 598.933
  36 351.242 572.749 603.025
  37 361.242 542.768 605.945
  38 371.242 546.787 609.828
  39 381.242 549.732 610.406
  40 391.242 566.997 610.135
300000 40 23040
  1 1.24178 584.044 611.816
  2 11.2418 568.792 614.918
  3 21.2418 584.232 618.435
  4 31.2418 552.296 623.019
  5 41.2418 561.548 624.436
  6 51.2418 554.609 623.423
  7 61.2418 560.669 624.65
  8 71.2418 599.219 625.482
  9 81.2418 630.739 628.645
  10 91.2418 594.856 630.02
  11 101.242 605.403 627.977
  12 111.242 557.287 628.493
  13 121.242 574.698 629.341
  14 131.242 572.956 628.248
  15 141.242 561.254 629.921
  16 151.242 571.671 630.951
  17 161.242 559.066 628.098
  18 171.242 597.446 627.211
  19 181.242 612.067 624.011
  20 191.242 586.197 625.278
  21 201.242 598.547 624.076
  22 211.242 561.066 619.219
  23 221.242 596.557 614.598
  24 231.242 602.252 614.619
  25 241.242 581.402 614.063
  26 251.242 610.737 607.617
  27 261.242 579.671 603.835
  28 271.242 590.946 602.964
  29 281.242 555.534 597.451
  30 291.242 571.632 597.241
  31 301.242 537.567 593.449
  32 311.242 559.112 596.037
  33 321.242 583.823 595.135
  34 331.242 573.604 595.774
  35 341.242 567.631 595.682
  36 351.242 572.646 599.945
  37 361.242 544.147 601.261
  38 371.242 546.674 606.478
  39 381.242 549.238 605.594
  40 391.242 568.163 607.098
400000 40 23040
  1 1.24178 584.095 616.852
  2 11.2418 569.261 619.208
  3 21.2418 585.586 621.159
  4 31.2418 551.39 618.851
  5 41.2418 560.852 619.967
  6 51.2418 554.099 621.871
  7 61.2418 559.971 623.422
  8 71.2418 599.325 625.191
  9 81.2418 630.094 627.11
  10 91.2418 594.043 627.333
  11 101.242 604.761 625.524
  12 111.242 559.276 630.06
  13 121.242 574.828 631.192
  14 131.242 572.411 630.441
  15 141.242 561.036 633.708
  16 151.242 571.848 630.375
  17 161.242 558.053 627.331
  18 171.242 597.892 621.371
  19 181.242 611.977 616.663
  20 191.242 585.667 620.371
  21 201.242 598.991 618.475
  22 211.242 560.726 618.091
  23 221.242 595.621 615.566
  24 231.242 602.226 614.463
  25 241.242 581.32 615.688
  26 251.242 615.722 612.742
  27 261.242 578.043 609.935
  28 271.242 591.749 606.872
  29 281.242 554.974 603.031
  30 291.242 572.126 598.278
  31 301.242 537.537 595.181
  32 311.242 557.206 597.202
  33 321.242 585.655 595.203
  34 331.242 572.581 601.283
  35 341.242 567.979 605.446
  36 351.242 573.572 608.189
  37 361.242 542.901 613.033
  38 371.242 546.025 614.272
  39 381.242 550.596 610.712
  40 391.242 567.983 612.153
500000 40 23040.000000000007
  1 1.24178 584.783 618.59
  2 11.2418 569.622 615.971
  3 21.2418 584.69 615.658
  4 31.2418 552.029 616.862
  5 41.2418 561.699 618.124
  6 51.2418 552.43 621.429
  7 61.2418 562.828 624.016
  8 71.2418 600.789 626.551
  9 81.2418 630.591 631.883
  10 91.2418 594.212 638.904
  11 101.242 603.307 640.263
  12 111.242 559.102 639.922
  13 121.242 575.301 634.383
  14 131.242 571.522 630.479
  15 141.242 561.709 625.673
  16 151.242 571.459 623.155
  17 161.242 559.28 623.693
  18 171.242 596.917 620.012
  19 181.242 610.361 616.06
  20 191.242 586.159 616.544
  21 201.242 599.209 617.698
  22 211.242 560.187 615.823
  23 221.242 595.272 616.869
  24 231.242 600.512 617.142
  25 241.242 582.647 611.611
