# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 61 34560
  1 -1.40616 578.949 932.92
  2 8.59384 615.735 928.76
  3 18.5938 600.816 931.612
  4 28.5938 588.602 936.86
  5 38.5938 577.52 938.296
  6 48.5938 581.316 941.071
  7 58.5938 563.572 943.554
  8 68.5938 559.939 945.776
  9 78.5938 554.738 949.078
  10 88.5938 541.49 952.635
  11 98.5938 534.408 954.617
  12 108.594 554.921 954.756
  13 118.594 555.952 954.136
  14 128.594 574.479 951.229
  15 138.594 592.436 951.662
  16 148.594 574.795 959.022
  17 158.594 558.662 954.582
  18 168.594 583.753 954.356
  19 178.594 583.25 954.149
  20 188.594 594.076 952.848
  21 198.594 596.462 949.209
  22 208.594 614.511 945.044
  23 218.594 542.23 941.424
  24 228.594 584.139 935.488
  25 238.594 601.422 929.65
  26 248.594 583.113 919.085
  27 258.594 615.847 916.992
  28 268.594 630.008 921.332
  29 278.594 592.852 915.979
  30 288.594 575.567 915.71
  31 298.594 550.305 914.799
  32 308.594 550.583 913.549
  33 318.594 560.207 910.757
  34 328.594 582.964 905.462
  35 338.594 591.433 909.09
  36 348.594 575.209 898.198
  37 358.594 574.26 894.467
  38 368.594 589.907 897.201
  39 378.594 581.568 903.934
  40 388.594 593.218 901.848
  41 398.594 569.426 895.513
  42 408.594 573.99 894.039
  43 418.594 580.882 896.672
  44 428.594 568.546 898.74
  45 438.594 607.341 895.46
  46 448.594 595.757 898.146
  47 458.594 573.482 904.644
  48 468.594 557.877 908.578
  49 478.594 567.238 916.003
  50 488.594 559.669 911.727
  51 498.594 540.449 908.448
  52 508.594 551.354 910.733
  53 518.594 544.577 914.286
  54 528.594 564.299 914.086
  55 538.594 534.784 914.714
  56 548.594 555.021 915.714
  57 558.594 583.5 920.786
  58 568.594 563.243 927.247
  59 578.594 566.377 933.817
  60 588.594 571.832 929.585
  61 598.594 75.1402 931.144
200000 61 34560.000000000015
  1 -1.40616 578.87 934.533
  2 8.59384 616.057 932.287
  3 18.5938 602.355 927.889
  4 28.5938 587.28 932.93
  5 38.5938 578.805 934.499
  6 48.5938 579.412 944.899
  7 58.5938 562.875 946.187
  8 68.5938 560.193 946.863
  9 78.5938 554.209 944.686
  10 88.5938 540.769 947.733
  11 98.5938 537.083 952.159
  12 108.594 553.156 953.201
  13 118.594 557 948.665
  14 128.594 574.581 950.496
  15 138.594 591.89 950.91
  16 148.594 575.455 953.603
  17 158.594 560.032 950.737
  18 168.594 584.069 952.19
  19 178.594 582.573 956.65
  20 188.594 594.738 954.949
  21 198.594 594.696 953.125
  22 208.594 614.832 944.796
  23 218.594 543.488 943.354
  24 228.594 580.931 939.49
  25 238.594 602.649 933.361
  26 248.594 583.66 928.55
